# t(yr) SFR(Msol/yr)
5.0000000e+08 2.3926184e-04
6.0000000e+08 1.0385836e-03
7.0000000e+08 2.9001514e-03
8.0000000e+08 6.1668477e-03
9.0000000e+08 1.0943922e-02
1.0000000e+09 1.7155199e-02
1.1000000e+09 2.4591005e-02
1.2000000e+09 3.3008545e-02
1.3000000e+09 4.2143345e-02
1.4000000e+09 5.1788172e-02
1.5000000e+09 6.1750045e-02
1.6000000e+09 7.1873476e-02
1.7000000e+09 8.2046040e-02
1.8000000e+09 9.2194903e-02
1.9000000e+09 1.0225767e-01
2.0000000e+09 1.1221621e-01
2.1000000e+09 1.2203237e-01
2.2000000e+09 1.3171489e-01
2.3000000e+09 1.4126589e-01
2.4000000e+09 1.5067464e-01
2.5000000e+09 1.5996069e-01
2.6000000e+09 1.6913648e-01
2.7000000e+09 1.7820879e-01
2.8000000e+09 1.8725449e-01
2.9000000e+09 1.9619544e-01
3.0000000e+09 2.0494612e-01
3.1000000e+09 2.1364360e-01
3.2000000e+09 2.2232359e-01
3.3000000e+09 2.3092338e-01
3.4000000e+09 2.3945132e-01
3.5000000e+09 2.4788326e-01
3.6000000e+09 2.5624783e-01
3.7000000e+09 2.6454411e-01
3.8000000e+09 2.7278449e-01
3.9000000e+09 2.8098513e-01
4.0000000e+09 2.8914825e-01
4.1000000e+09 2.9733926e-01
4.2000000e+09 3.0558211e-01
4.3000000e+09 3.1400158e-01
4.4000000e+09 3.2265781e-01
4.5000000e+09 3.3152078e-01
4.6000000e+09 3.4087183e-01
4.7000000e+09 3.5070186e-01
4.8000000e+09 3.6086213e-01
4.9000000e+09 3.7205623e-01
5.0000000e+09 3.8368001e-01
5.1000000e+09 3.9616685e-01
5.2000000e+09 4.0950437e-01
5.3000000e+09 4.2338052e-01
5.4000000e+09 4.3855051e-01
5.5000000e+09 4.5400268e-01
5.6000000e+09 4.7090833e-01
5.7000000e+09 4.8804733e-01
5.8000000e+09 5.0633616e-01
5.9000000e+09 5.2491117e-01
6.0000000e+09 5.4435764e-01
6.1000000e+09 5.6401958e-01
6.2000000e+09 5.8426174e-01
6.3000000e+09 6.0460474e-01
6.4000000e+09 6.2526866e-01
6.5000000e+09 6.4593933e-01
6.6000000e+09 6.6664775e-01
6.7000000e+09 6.8735228e-01
6.8000000e+09 7.0752766e-01
6.9000000e+09 7.2770305e-01
7.0000000e+09 7.4694781e-01
7.1000000e+09 7.6596916e-01
7.2000000e+09 7.8414756e-01
7.3000000e+09 8.0163126e-01
7.4000000e+09 8.1862728e-01
7.5000000e+09 8.3401346e-01
7.6000000e+09 8.4939963e-01
7.7000000e+09 8.6269365e-01
7.8000000e+09 8.7564482e-01
7.9000000e+09 8.8741169e-01
8.0000000e+09 8.9759774e-01
8.1000000e+09 9.0778380e-01
8.2000000e+09 9.1511956e-01
8.3000000e+09 9.2227274e-01
8.4000000e+09 9.2818423e-01
8.5000000e+09 9.3218431e-01
8.6000000e+09 9.3618438e-01
8.7000000e+09 9.3773738e-01
8.8000000e+09 9.3864223e-01
8.9000000e+09 9.3915415e-01
9.0000000e+09 9.3704806e-01
9.1000000e+09 9.3494196e-01
9.2000000e+09 9.3159366e-01
9.3000000e+09 9.2648779e-01
9.4000000e+09 9.2138192e-01
9.5000000e+09 9.1460246e-01
9.6000000e+09 9.0688893e-01
9.7000000e+09 8.9917540e-01
9.8000000e+09 8.8965198e-01
9.9000000e+09 8.7971582e-01
1.0000000e+10 8.6977966e-01
1.0100000e+10 8.5806099e-01
1.0200000e+10 8.4621227e-01
1.0300000e+10 8.3436355e-01
1.0400000e+10 8.2083046e-01
1.0500000e+10 8.0729231e-01
1.0600000e+10 7.9374414e-01
1.0700000e+10 7.7909282e-01
1.0800000e+10 7.6444151e-01
1.0900000e+10 7.4979019e-01
1.1000000e+10 7.3435616e-01
1.1100000e+10 7.1889708e-01
1.1200000e+10 7.0343801e-01
1.1300000e+10 6.8761365e-01
1.1400000e+10 6.7173853e-01
1.1500000e+10 6.5586341e-01
